Категория,Название,Остаток,Цена,Артикул,Компания,Откуда,Объем
Штукатурки,Штукатурка MARMOR.NAT.FINE P/B.CO   KG. 1,Остаток Алматы: 6 шт,6 600 KZT,LMF000000T,Oikos,Италия,1 кг
Штукатурки,Штукатурка RASAT.ALLA CALCE FINE    KG.20,Остаток Алматы: 3 шт,64 500 KZT,LPR0F0000Z,Oikos,Италия,20 кг
Штукатурки,Штукатурка MARMORINO NAT. P/BIANCO  KG. 5,Остаток Алматы: 1 шт,27 600 KZT,LMM000000W,Oikos,Италия,5 кг
Штукатурки,"Известковая штукатурка TRAVERTIN, 15 кг",Остаток Алматы: 2 шт,111 530 KZT,MD TT-15,Maitre Deco,Франция,15 л
Штукатурки,Штукатурка MARMOR.NAT.FINE P/B.CO   KG. 5,Остаток Алматы: 2 шт,27 600 KZT,LMF000000W,Oikos,Италия,5 кг
Штукатурки,Штукатурка TRAVERTINO ROMANO FINIT.LT.4,Остаток Алматы: 2 шт,114 400 KZT,LTRF00000D,Oikos,Италия,4 л
Штукатурки,Штукатурка RASAT.ALLA CALCE GROSSO  KG.20,Остаток Астана: 2 шт,64 500 KZT,LPR0G0000Z,Oikos,Италия,20 кг
Штукатурки,Штукатурка TRAVERTINO ROMANO FINIT.LT.1,Остаток Алматы: 1 шт,30 400 KZT,LTRF00000E,Oikos,Италия,1 л
Шпатлевки,"Шпатлевка финишная Dulux Bindo Filler 8,6л (15 кг)",Остаток Алматы: 62 шт,22 660 KZT,5319755,Dulux,Англия,"8,6 л"
Шпатлевки,"Шпатлевка финишная Dulux Bindo Filler 2,9л (5,1 кг)",Остаток Астана: 2 шт,8 700 KZT,5319758,Dulux,Англия,"2,9 л"
Шпатлевки,"Шпатлевка финишная Dulux Bindo Filler 0.9 л (1,5кг)",Остаток Алматы: 1 шт,4 390 KZT,5319761,Dulux,Англия,"0,9 л"
Фасадные краски,Краска Marshall AKRIKOR силикон-акриловая фасадная матовая BC 9л,Остаток Алматы: 285 шт,52 100 KZT,5398706,Marshall,Турция,9 л
Фасадные краски,DufaPremium ВД краска SILOXANE фасадная силоксановая база 1 9л,Остаток Алматы: 237 шт,70 330 KZT,Н0000007168,DUFA,Германия,9 л
Фасадные краски,MAESTRO фасадная акриловая BC  9,Остаток Алматы: 225 шт,40 690 KZT,5248875,Marshall,Турция,9 л
Фасадные краски,Profilux ВД краска PL-112А фасад. влагостойкая белая 14кг,Остаток Алматы: 219 шт,19 040 KZT,МП00-004919,Profilux,Германия,14 л
Фасадные краски,"Dufa ВД краска FASSADENWEISS база 1, 10л",Остаток Алматы: 203 шт,33 224 KZT,Н0000003412,DUFA,Германия,10 л
Фасадные краски,"ProfiluxProfessional ВД краска FACADE & SOCLE акpиловая для фасадов и цоколей, 13кг",Остаток Алматы: 197 шт,29 040 KZT,Н0000005767,Profilux,Германия,13 л
