Название,Остаток,Цена,Артикул,Компания,Откуда,Объем
"PX103 молдинг Дюрополимер 200 x 2,464 x 1,23",Остаток Алматы: 65 шт,2 050 KZT,PX103,ORAC Decor,Бельгия,Не указан
"PX175 молдинг Дюрополимер 200 x 5 x 1,7",Остаток Алматы: 54 шт,4 150 KZT,PX175,ORAC Decor,Бельгия,Не указан
"PX201 молдинг Дюрополимер 200 x 2,5 x 9",Остаток Алматы: 53 шт,2 550 KZT,PX201,ORAC Decor,Бельгия,Не указан
"CX106 карниз Дюрополимер 200 x 11,8 x 11,7",Остаток Алматы: 37 шт,14 250 KZT,CX106,ORAC Decor,Бельгия,Не указан
"CX126 карниз Дюрополимер 200 x 8,7 x 8,7",Остаток Алматы: 28 шт,11 500 KZT,CX126,ORAC Decor,Бельгия,Не указан
"PX117 молдинг Дюрополимер 200 x 3,463 x 1,472",Остаток Алматы: 24 шт,4 300 KZT,PX117,ORAC Decor,Бельгия,Не указан
Монтажный клей ORAC DECOFIX PRO FDP550 310 мл,Остаток Алматы: 13 шт,4 850 KZT,FDP550,ORAC Decor,Бельгия,310 мл
"SX138 плинтус  200 x 13,8 x 1,5",Остаток Алматы: 13 шт,13 300 KZT,SX138,ORAC Decor,Бельгия,Не указан
Монтажный клей ORAC DECOFIX POWER FDP700 290 мл,Остаток Алматы: 11 шт,12 000 KZT,FDP700,ORAC Decor,Бельгия,Не указан
SX207 плинтус,Остаток Алматы: 11 шт,26 200 KZT,SX207,ORAC Decor,Бельгия,Не указан
"SX173 плинтус  200 x 10 x 1,6",Остаток Алматы: 1 шт,8 000 KZT,SX173,ORAC Decor,Бельгия,Не указан
FL350 ORAC шпатлевка 310 ml,Остаток Алматы: 8 шт,5 550 KZT,FL350,ORAC Decor,Бельгия,310 мл
"SX183 плинтус Дюрополимер 200 х 7,5 х 1,3",Остаток Алматы: 6 шт,6 200 KZT,SX183,ORAC Decor,Бельгия,Не указан
W111 декоративная панель 200 х 25 х 2,Остаток Алматы: 6 шт,48 900 KZT,W111,ORAC Decor,Бельгия,Не указан
SX194 плинтус гибкий  200 x 1 x 2,Остаток Алматы: 5 шт,14 000 KZT,SX194F,ORAC Decor,Бельгия,Не указан
"CX127 карниз Дюрополимер 200 x 9,4 x 9,4",Остаток Алматы: 5 шт,12 800 KZT,CX127,ORAC Decor,Бельгия,Не указан
SX194 плинтус  200 x 1 x 2,Остаток Алматы: 4 шт,2 550 KZT,SX194,ORAC Decor,Бельгия,Не указан
"C307 карниз полиуретан 200 x 19,5 x 19,5",Остаток Алматы: 4 шт,56 800 KZT,C307,ORAC Decor,Бельгия,Не указан
Стыковочный клей ORAC DECOFIX EXTRA FX250 310 мл,Остаток Алматы: 3 шт,15 400 KZT,FX250 (310 мл),ORAC Decor,Бельгия,310 мл
"SX184 плинтус Дюрополимер 200 х 11 х 1,3",Остаток Алматы: 3 шт,8 000 KZT,SX184,ORAC Decor,Бельгия,Не указан
"W109 декоративная панель 200 х 25 х 1,3",Остаток Алматы: 3 шт,43 700 KZT,W109,ORAC Decor,Бельгия,Не указан
Монтажный клей ORAC DECOFIX PRO FDP500 310 мл,Остаток Алматы: 2 шт,5 100 KZT,FDP500,ORAC Decor,Бельгия,Не указан
"SX163 плинтус Дюрополимер 200 х 10,2 х 1,3",Остаток Алматы: 2 шт,8 000 KZT,SX163,ORAC Decor,Бельгия,Не указан
"SX182 плинтус Дюрополимер 200 х 5 х 1,3",Остаток Алматы: 2 шт,5 700 KZT,SX182,ORAC Decor,Бельгия,Не указан
WX210F ORAC Wдекоративная панель,Остаток Алматы: 2 шт,66 750 KZT,WX210F,ORAC Decor,Бельгия,Не указан
W214 декоративная панель,Остаток Алматы: 1 шт,78 000 KZT,W214,ORAC Decor,Бельгия,Не указан
PX209 молдинг Дюрополимер,Остаток Алматы: 1 шт,2 750 KZT,PX209,ORAC Decor,Бельгия,Не указан
"R17  Потолочная розетка Диаметр 47 см (Высота: 3,5 см)",Остаток Алматы: 1 шт,36 100 KZT,R17,ORAC Decor,Бельгия,Не указан
W216 декоративная панель,Остаток Алматы: 1 шт,55 700 KZT,W216,ORAC Decor,Бельгия,Не указан
"SX182F плинтус гибкий Дюрополимер 200 х 5 х 1,3",Остаток Алматы: 1 шт,26 500 KZT,SX182F,ORAC Decor,Бельгия,Не указан
"W108 декоративная панель 200 х 25 х 1,8",Остаток Алматы: 1 шт,43 800 KZT,W108,ORAC Decor,Бельгия,Не указан
"C334 карниз полиуретан 200 x 15 x 19,6",Остаток Алматы: 1 шт,42 000 KZT,C334,ORAC Decor,Бельгия,Не указан
