Название,Остаток,Цена,Артикул,Компания,Откуда,Объем
Краска Marshall AKRIKOR силикон-акриловая фасадная матовая BC 9л,Остаток Алматы: 285 шт,52 100 KZT,5398706,Marshall,Турция,9 л
DufaPremium ВД краска SILOXANE фасадная силоксановая база 1 9л,Остаток Алматы: 237 шт,70 330 KZT,Н0000007168,DUFA,Германия,9 л
MAESTRO фасадная акриловая BC  9,Остаток Алматы: 225 шт,40 690 KZT,5248875,Marshall,Турция,9 л
Profilux ВД краска PL-112А фасад. влагостойкая белая 14кг,Остаток Алматы: 219 шт,19 040 KZT,МП00-004919,Profilux,Германия,14 л
"Dufa ВД краска FASSADENWEISS база 1, 10л",Остаток Алматы: 203 шт,33 224 KZT,Н0000003412,DUFA,Германия,10 л
"ProfiluxProfessional ВД краска FACADE & SOCLE акpиловая для фасадов и цоколей, 13кг",Остаток Алматы: 197 шт,29 040 KZT,Н0000005767,Profilux,Германия,13 л
MAESTRO фасадная акриловая BW  9,Остаток Алматы: 162 шт,40 690 KZT,5248873,Marshall,Турция,9 л
"ProfiluxProfessional ВД краска FACADE & SOCLE акриловая для фасадов и цоколей база 3, 13кг",Остаток Алматы: 141 шт,29 040 KZT,Н0000005759,Profilux,Германия,13 л
"Краска Marshall AKRIKOR силикон-акриловая фасадная матовая BW 2,5л",Остаток Алматы: 114 шт,15 930 KZT,5398697,Marshall,Турция,"2,5 л"
Краска фасадная Dulux Weathershield Extraflex  BW 5л,Остаток Алматы: 113 шт,46 110 KZT,5736101,Dulux,Англия,5 л
Краска Luxium Prof Diamond Фасад Глад мт BW 9л,Остаток Алматы: 93 шт,67 960 KZT,50034547,LUXIUM,Англия,9 л
"Краска Marshall AKRIKOR силикон-акриловая фасадная матовая BW 0,9л",Остаток Алматы: 86 шт,6 880 KZT,5398704,Marshall,Турция,"0,9 л"
DufaPremium ВД краска KeraFacade  база1  9л,Остаток Алматы: 78 шт,59 420 KZT,МП00-009928,DUFA,Германия,9 л
"DufaPremium ВД краска SILOXANE фасадная силоксановая база 1  0,9л",Остаток Алматы: 75 шт,8 470 KZT,МП00-007451,DUFA,Германия,"0,9 л"
Краска Luxium Prof Diamond Фасад Глад мт BC 9л,Остаток Алматы: 76 шт,84 950 KZT,50034548,LUXIUM,Англия,9 л
"Краска Marshall AKRIKOR силикон-акриловая фасадная матовая BC 0,9л",Остаток Алматы: 72 шт,6 880 KZT,5398718,Marshall,Турция,"0,9 л"
Dufa ВД краска FASSADENWEISS база 3 10л,Остаток Алматы: 63 шт,41 530 KZT,Н0000002304,DUFA,Германия,10 л
"DufaPremium ВД краска SILOXANE фасадная силоксановая база 1  2,5л",Остаток Алматы: 48 шт,23 920 KZT,Н0000004492,DUFA,Германия,"2,5 л"
"ProfiluxProfessional ВД краска FACADE & SOCLE акриловая для фасадов и цоколей база 3,  2,5кг",Остаток Алматы: 49 шт,7 950 KZT,Н0000005758,Profilux,Германия,"2,5 л"
"DufaPremium ВД краска KeraFacade  база1  0,9л",Остаток Алматы: 47 шт,7 570 KZT,МП00-009924,DUFA,Германия,"0,9 л"
"MAESTRO фасадная акриловая BC  0,9",Остаток Алматы: 44 шт,5 270 KZT,5248874,Marshall,Турция,"0,9 л"
"Краска фасадная Dulux Weathershield Extraflex BC 2,25л",Остаток Алматы: 43 шт,25 590 KZT,5736108,Dulux,Англия,"2,25 л"
DufaPremium ВД краска KeraFacade  база3  9л,Остаток Алматы: 44 шт,59 420 KZT,МП00-009929,DUFA,Германия,9 л
"ProfiluxProfessional ВД краска FACADE & SOCLE акpиловая для фасадов и цоколей,  2,5кг",Остаток Алматы: 41 шт,7 950 KZT,Н0000005766,Profilux,Германия,"2,5 л"
Profilux DIY Краска для разметки дорог белая   5кг,Остаток Алматы: 35 шт,17 300 KZT,МП00-004728,Profilux,Германия,5 л
"Краска Luxium Prof Diamond Фасад Глад мт BC 0,9л",Остаток Алматы: 35 шт,10 650 KZT,50034858,LUXIUM,Англия,"0,9 л"
Краска Dulux TRADE Фасадная гладкая bs BW  5,Остаток Алматы: 30 шт,51 410 KZT,5183702,Dulux,Англия,5 л
"MAESTRO фасадная акриловая BW  0,9",Остаток Алматы: 30 шт,5 270 KZT,5248871,Marshall,Турция,"0,9 л"
"DufaPremium ВД краска SILOXANE фасадная силоксановая база 3  0,9л",Остаток Алматы: 30 шт,8 470 KZT,МП00-007452,DUFA,Германия,"0,9 л"
"MAESTRO фасадная акриловая BW  2,5",Остаток Алматы: 22 шт,11 990 KZT,5251963,Marshall,Турция,"2,5 л"
Profilux DIY Краска для разметки дорог жёлтая   5кг,Остаток Алматы: 28 шт,17 300 KZT,МП00-004730,Profilux,Германия,5 л
Краска Luxium Prof Diamond Фасад Глад мт BW 1л,Остаток Алматы: 29 шт,10 650 KZT,50034856,LUXIUM,Англия,1 л
"Dufa ВД краска FASSADENWEISS база 1,  2,5л",Остаток Алматы: 27 шт,11 910 KZT,Н0000003413,DUFA,Германия,"2,5 л"
"Profilux ВД краска PL-112А фасад. влагостойкая белая  1,4кг",Остаток Алматы: 24 шт,3 070 KZT,МП00-007843,Profilux,Германия,"1,4 л"
"DufaPremium ВД краска KeraFacade  база1  2,5л",Остаток Алматы: 23 шт,19 330 KZT,МП00-009926,DUFA,Германия,"2,5 л"
"DufaPremium ВД краска KeraFacade  база3  0,9л",Остаток Алматы: 22 шт,7 570 KZT,МП00-009925,DUFA,Германия,"0,9 л"
"DufaPremium ВД краска KeraFacade  база3  2,5л",Остаток Алматы: 21 шт,19 330 KZT,МП00-009927,DUFA,Германия,"2,5 л"
"Dufa ВД краска FASSADENWEISS база 3  2,5л",Остаток Алматы: 19 шт,11 910 KZT,Н0000002305,DUFA,Германия,"2,5 л"
Краска Dulux Professional BINDO FACADE для фасадов и цоколей BW 9л,Остаток Алматы: 18 шт,55 160 KZT,5351675,Dulux,Англия,9 л
"Краска Luxium Prof Diamond Фасад Глад мт BC 2,25л",Остаток Алматы: 18 шт,27 890 KZT,50034857,LUXIUM,Англия,"2,25 л"
"MAESTRO фасадная акриловая BC  2,5",Остаток Алматы: 10 шт,11 990 KZT,5251965,Marshall,Турция,"2,5 л"
"KIRJO AQUA WHITE BASE PAINT 1 краска для листовой кровли 2,7",Остаток Алматы: 13 шт,35 100 KZT,970201003,Teknos,Финляндия,"2,7 л"
"Краска Dulux TRADE Фасадная гладкая bs BW  2,5",Остаток Алматы: 9 шт,27 890 KZT,5183700,Dulux,Англия,"2,5 л"
"Краска Dulux TRADE Фасадная гладкая bs BC    0,9",Остаток Алматы: 8 шт,10 650 KZT,5255347,Dulux,Англия,"0,9 л"
"KIRJO AQUA WHITE BASE PAINT 1 краска для листовой кровли 0,9",Остаток Алматы: 11 шт,12 200 KZT,970201001,Teknos,Финляндия,"0,9 л"
Краска Marshall AKRIKOR силикон-акриловая фасадная матовая BW 9л,Остаток Алматы: 4 шт,43 243 KZT,5395834,Marshall,Турция,9 л
