Название,Остаток,Цена,Артикул,Компания,Откуда,Объем
Dufa Грунт TIEFGRUND RD314 LF  5л,Остаток Алматы: 100 шт,6 640 KZT,Н0000000018,DUFA,Германия,5 л
Грунт-эмаль Marshall ANTICORR AQUA полуглянцевая BW 9л,Остаток Алматы: 43 шт,78 880 KZT,5316073,Marshall,Турция,9 л
Export base грунтовка универсальная  10,Остаток Алматы: 31 шт,15 720 KZT,5195021,Marshall,Турция,10 л
Грунт CRILUX   LT. 1,Остаток Алматы: 18 шт,19 300 KZT,OISCRI000E,Oikos,Италия,1 л
"Грунт универсальный акриловый KELLY-MOORE General Purpose (цвет- white, satin), банка 0,946л",Остаток Алматы: 16 шт,22 250 KZT,200-100-1Q,KELLY-MOORE,Америка,"0,946 л"
"Грунт-эмаль ANTICORR AQUA BW 0,5л",Остаток Алматы: 11 шт,6 370 KZT,5255605,Marshall,Турция,"0,5 л"
"Грунтовка Architects All Surface Primer, белая база 0,75л, Paint&Paper Library",Остаток Алматы: 12 шт,33 000 KZT,PLASP075,PPL(Paint&Paper Library),Англия,"0,75 л"
Грунт-эмаль ANTICORR AQUA BW 2л,Остаток Астана: 10 шт,20 600 KZT,5255646,Marshall,Турция,2 л
"Dufa HOME Special Primer   0,9л",Остаток Алматы: 7 шт,10 620 KZT,МП00-012382,DUFA,Германия,"0,9 л"
Грунтовка универсальная Bindo base   9,Остаток Алматы: 6 шт,21 780 KZT,5360774,Dulux,Англия,9 л
"Dufa HOME Special Primer   2,5л",Остаток Алматы: 4 шт,26 910 KZT,МП00-012383,DUFA,Германия,"2,5 л"
"Грунт универсальный акриловый KELLY-MOORE General Purpose (цвет: white, satin), банка 3,78л",Остаток Алматы: 7 шт,64 250 KZT,200-100-1G,KELLY-MOORE,Америка,"3,78 л"
Грунтовка акриловая Argile 10л,Остаток Алматы: 4 шт,179 740 KZT,ASP10,Argile,Франция,10 л
"Кварцевая грунт-краска BASE QUARTZ, 1 л",Остаток Алматы: 4 шт,8 814 KZT,MD BQ-015,Maitre Deco,Франция,1 л
"Грунт-эмаль ANTICORR AQUA BC 0,5 л",Остаток Астана: 4 шт,5 650 KZT,5255647,Marshall,Турция,"0,5 л"
Dufa HOME Special Primer   9л,Остаток Алматы: 2 шт,89 650 KZT,МП00-012384,DUFA,Германия,9 л
Грунт IL PRIMER   LT. 4,Остаток Алматы: 3 шт,85 200 KZT,OISPRI000D,Oikos,Италия,4 л
Грунт FLEXIGRAP P/BIANCO    LT. 1,Остаток Алматы: 1 шт,16 600 KZT,TF0000000E,Oikos,Италия,1 л
"Грунт AMORCE, 5 л",Остаток Алматы: 2 шт,10 396 KZT,MD AM-05,Maitre Deco,Франция,5 л
MAESTRO фасадная грунтовка 10л  10,Остаток Астана: 2 шт,14 760 KZT,5183681,Marshall,Турция,10 л
"Грунтовка Architects All Surface Primer, э-темная база 0,75л, Paint&Paper Library",Остаток Алматы: 2 шт,33 000 KZT,PLASPE075,PPL(Paint&Paper Library),Англия,"0,75 л"
Грунт Milq Uni-primer 2 in 1 10 л,Остаток Астана: 2 шт,40 200 KZT,00-00009792-10,Milq,Россия,10 л
"Грунт-краска Сharmant Fond акрил-уретановая 2,7 л",Остаток Алматы: 1 шт,49 500 KZT,00-00010124-27,Charmant,Россия,"2,7 л"
"Грунтовка Architects All Surface Primer, э-темная база 2,5л, Paint&Paper Library",Остаток Алматы: 2 шт,69 050 KZT,PLASPE25,PPL(Paint&Paper Library),Англия,"2,5 л"
Грунт IL PRIMER  LT. 1,Остаток Астана: 1 шт,27 300 KZT,OISPRI000E,Oikos,Италия,1 л
Грунтовка  Сharmant Stable акрил-уретановая глубокого проникновения 9 л,Остаток Алматы: 1 шт,107 000 KZT,00-00010123-90,Charmant,Россия,9 л
Грунт Milq Uni-primer 2 in 1 3 л,Остаток Астана: 1 шт,13 700 KZT,00-00009792-30,Milq,Россия,3 л
"Грунт FLEXIGRAP LISCIO B.CO LT. 1,",Остаток Алматы: 1 шт,16 600 KZT,TF0L00000E,Oikos,Италия,1 л
"Грунтовка  Сharmant Stable акрил-уретановая глубокого проникновения 2,7 л",Остаток Астана: 1 шт,34 500 KZT,00-00010123-27,Charmant,Россия,"2,7 л"
