Название,Остаток,Цена,Артикул,Компания,Откуда,Объем
TYTAN клей монтажный  CLASSIC FIX (310 мл) бесцветный,Остаток Алматы: 37 шт,5 157 KZT,10043939,TYTAN,Польша,310 мл
TYTAN клей монтажный для зеркал (310мл) бежевый,Остаток Алматы: 13 шт,3 605 KZT,10045699,TYTAN,Польша,310 мл
"TYTAN клей монтажный Fix² GT, 290 мл (РФ)",Остаток Алматы: 12 шт,7 641 KZT,10041771,TYTAN,Польша,290 мл
"TYTAN герметик высокотемпературный, (310 мл), черный (КНР)",Остаток Алматы: 12 шт,5 481 KZT,ICN2809032/ICN2109032,TYTAN,Польша,310 мл
Клей PUFAS EURO 3000 Флизелиновый специальный 500гр,Остаток Астана: 10 шт,3 440 KZT,21904000,PUFAS,Германия,500 гр
TYTAN клей монтажный Экспресс ДЕКОР (310мл.) белый,Остаток Алматы: 9 шт,3 483 KZT,10045441/10023841,TYTAN,Польша,310 мл
TYTAN клей монтажный  HYDRO FIX (310 мл)  бесцветный,Остаток Алматы: 8 шт,3 888 KZT,10043941,TYTAN,Польша,310 мл
"TYTAN герметик высокотемпературный, (310 мл), красный (КНР)",Остаток Алматы: 7 шт,5 481 KZT,ICN2809036/ICN2109036,TYTAN,Польша,310 мл
TYTAN силикон санитарный (280 мл) белый (КНР),Остаток Алматы: 3 шт,4 887 KZT,ICN2109021,TYTAN,Польша,280 мл
Удалитель PUFAS Glutoclean накипи 500мл. 036801092,Остаток Алматы: 3 шт,3 150 KZT,36801092,PUFAS,Германия,520 мл
Средство PUFAS Glutoclean удалитель накипи 4*1л,Остаток Алматы: 3 шт,5 060 KZT,390368-R,PUFAS,Германия,1 л
Средство PUFAS Glutoclean очиститель для духовки и гриля 6*750мл,Остаток Алматы: 2 шт,6 100 KZT,390390-R,PUFAS,Германия,750 мл
Средство PUFAS TAP-EX для удаления обоев 12x250мл,Остаток Алматы: 1 шт,4 550 KZT,9-05204-00,PUFAS,Германия,250 мл
Средство PUFAS Glutoclean очиститель для ковров и мягкой мебели 6*750мл,Остаток Алматы: 1 шт,6 800 KZT,390391-R,PUFAS,Германия,750 мл
"TYTAN герметик для аквариума и стекла (310/280 мл) беcцветный (КНР, Польша, РФ)",Остаток Алматы: 1 шт,6 818 KZT,ICN2109030,TYTAN,Польша,310 мл
