Название,Остаток,Цена,Артикул,Компания,Откуда,Объем
Dufa ДЛЯ МЕБЕЛИ И ДЕРЕВЯННЫХ ИЗДЕЛИЙ  краска  база1   2л,Остаток Алматы: 64 шт,26 190 KZT,МП00-012544,DUFA,Германия,2 л
"Dufa ДЛЯ ПОЛОВ И ЛЕСТНИЦ краска  база1   0,75л",Остаток Алматы: 63 шт,11 140 KZT,МП00-012510,DUFA,Германия,"0,75 л"
"Dufa ДЛЯ МЕБЕЛИ И ДЕРЕВЯННЫХ ИЗДЕЛИЙ  краска  база1   0,75л",Остаток Алматы: 62 шт,10 770 KZT,МП00-012543,DUFA,Германия,"0,75 л"
"Dufa ОКНА, ДВЕРИ и ОТКОСЫ краска  база1   0,75л",Остаток Алматы: 57 шт,11 510 KZT,МП00-012483,DUFA,Германия,"0,75 л"
Краска Dulux Полы и Лестницы п/глянц BW 9л,Остаток Алматы: 47 шт,124 000 KZT,5327465,Dulux,Англия,9 л
"Dufa ОКНА, ДВЕРИ и ОТКОСЫ краска  база1   2л",Остаток Алматы: 38 шт,27 740 KZT,МП00-012484,DUFA,Германия,2 л
Dufa ДЛЯ ПОЛОВ И ЛЕСТНИЦ краска  база1   2л,Остаток Алматы: 40 шт,27 000 KZT,МП00-012511,DUFA,Германия,2 л
"Dufa ОКНА, ДВЕРИ и ОТКОСЫ краска  база3   0,65л",Остаток Алматы: 33 шт,11 510 KZT,МП00-012486,DUFA,Германия,"0,65 л"
"Dufa ДЕРЕВО, МЕТАЛЛ, ПЛАСТИК эмаль алкидная база1   2л",Остаток Алматы: 27 шт,24 300 KZT,МП00-012376,DUFA,Германия,2 л
"Dufa ДЕРЕВО, МЕТАЛЛ, ПЛАСТИК эмаль алкидная база3   1,75л",Остаток Алматы: 23 шт,24 300 KZT,МП00-012377,DUFA,Германия,"1,75 л"
"Краска Dulux Полы и Лестницы п/глянц BC 0,75л",Остаток Алматы: 19 шт,13 300 KZT,5327426,Dulux,Англия,"0,75 л"
"Dufa ДЕРЕВО, МЕТАЛЛ, ПЛАСТИК эмаль алкидная база1   0,75л",Остаток Алматы: 16 шт,9 920 KZT,МП00-012373,DUFA,Германия,"0,75 л"
"Dufa ДЕРЕВО, МЕТАЛЛ, ПЛАСТИК эмаль алкидная база3   0,65л",Остаток Алматы: 19 шт,9 920 KZT,МП00-012374,DUFA,Германия,"0,65 л"
"Dufa ДЛЯ ПОЛОВ И ЛЕСТНИЦ краска  база3   0,65л",Остаток Алматы: 12 шт,11 140 KZT,МП00-012512,DUFA,Германия,"0,65 л"
"Dufa ДЛЯ ПОЛОВ И ЛЕСТНИЦ краска  база3   1,75л",Остаток Алматы: 8 шт,27 000 KZT,МП00-012513,DUFA,Германия,"1,75 л"
"Dufa ДЛЯ МЕБЕЛИ И ДЕРЕВЯННЫХ ИЗДЕЛИЙ  краска  база3   0,65л",Остаток Алматы: 13 шт,10 770 KZT,МП00-012545,DUFA,Германия,"0,65 л"
"Dufa ДЛЯ МЕБЕЛИ И ДЕРЕВЯННЫХ ИЗДЕЛИЙ  краска  база3   1,75л",Остаток Алматы: 10 шт,26 190 KZT,МП00-012546,DUFA,Германия,"1,75 л"
"Pinotex Classic дуб  2,7",Остаток Алматы: 16 шт,16 860 KZT,5195465,Pinotex,Эстония,"2,7 л"
"Краска Dulux Мебель и Дерево мат BC 0,75л",Остаток Алматы: 12 шт,13 300 KZT,5327293,Dulux,Англия,"0,75 л"
Краска Dulux Полы и Лестницы п/глянц BC 2л,Остаток Алматы: 10 шт,32 230 KZT,5327415,Dulux,Англия,2 л
Краска Dulux Полы и Лестницы п/глянц BC 9л,Остаток Алматы: 9 шт,124 000 KZT,5327466,Dulux,Англия,9 л
Краска Dulux Мебель и Дерево мат BW 2л,Остаток Алматы: 9 шт,32 230 KZT,5327300,Dulux,Англия,2 л
"Dufa ОКНА, ДВЕРИ и ОТКОСЫ краска  база3   1,75л",Остаток Астана: 9 шт,27 740 KZT,МП00-012487,DUFA,Германия,"1,75 л"
