Название,Остаток,Цена,Артикул,Компания,Откуда,Объем
Profilux Грунт эмаль по ржавчине 3 в 1 серая  5кг,Остаток Алматы: 57 шт,19 580 KZT,Н0000004990,Profilux,Германия,5 л
"Profilux Грунт эмаль по ржавчине 3 в 1 белая  1,9кг",Остаток Алматы: 43 шт,8 690 KZT,Н0000005007,Profilux,Германия,"1,9 л"
"Profilux Грунт эмаль по ржавчине 3 в 1 чёрная  1,9кг",Остаток Алматы: 41 шт,7 660 KZT,Н0000005013,Profilux,Германия,"1,9 л"
"Profilux Грунт эмаль по ржавчине 3 в 1 белая  0,9кг",Остаток Алматы: 44 шт,4 200 KZT,Н0000003471,Profilux,Германия,"0,9 л"
Dufa РАДИАТОРЫ ОТОПЛЕНИЯ эмаль акриловая база1   2л,Остаток Алматы: 37 шт,21 030 KZT,МП00-012293,DUFA,Германия,2 л
Profilux Грунт эмаль по ржавчине 3 в 1 чёрная  5кг,Остаток Алматы: 33 шт,18 770 KZT,Н0000004988,Profilux,Германия,5 л
"Profilux Грунт эмаль по ржавчине 3 в 1 чёрная  0,9кг",Остаток Алматы: 35 шт,3 760 KZT,Н0000003477,Profilux,Германия,"0,9 л"
"Dufa РАДИАТОРЫ ОТОПЛЕНИЯ эмаль алкидная база1   0,75л",Остаток Алматы: 32 шт,6 670 KZT,МП00-012294,DUFA,Германия,"0,75 л"
Краска Hammerite Гладкая RAL9005 Черная 5л (новый),Остаток Алматы: 31 шт,68 430 KZT,5811070,Hammerite,Нидерланды,5 л
"Краска HAMMER д/мет интерьерная BC 0,9л",Остаток Алматы: 28 шт,11 730 KZT,5588418,Hammerite,Нидерланды,"0,9 л"
Profilux Грунт эмаль по ржавчине 3 в 1 белая  5кг,Остаток Алматы: 29 шт,20 100 KZT,Н0000004991,Profilux,Германия,5 л
"Краска HAMMER д/мет интерьерная BC 0,5л",Остаток Алматы: 22 шт,6 810 KZT,5588417,Hammerite,Нидерланды,"0,5 л"
"Profilux Грунт эмаль по ржавчине 3 в 1 коричневая  0,9кг",Остаток Алматы: 28 шт,3 910 KZT,Н0000003499,Profilux,Германия,"0,9 л"
"Profilux Грунт эмаль по ржавчине 3 в 1 серая  1,9кг",Остаток Алматы: 26 шт,8 180 KZT,Н0000005011,Profilux,Германия,"1,9 л"
"Profilux Грунт эмаль по ржавчине 3 в 1 серая  0,9кг",Остаток Алматы: 25 шт,3 910 KZT,Н0000003475,Profilux,Германия,"0,9 л"
"Profilux Грунт эмаль по ржавчине 3 в 1 коричневая  1,9кг",Остаток Алматы: 17 шт,8 180 KZT,Н0000005010,Profilux,Германия,"1,9 л"
Краска Hammerite Гладкая RAL9003 Белая 5л (новый),Остаток Алматы: 15 шт,68 430 KZT,5811235,Hammerite,Нидерланды,5 л
Краска Hammerite Гладкая RAL9003 Белая 2л (новый),Остаток Алматы: 13 шт,32 600 KZT,5811177,Hammerite,Нидерланды,2 л
"Краска Hammerite Гладкая RAL7042 Серая 0,75л (новый)",Остаток Алматы: 11 шт,13 920 KZT,5819991,Hammerite,Нидерланды,"0,75 л"
"Краска Hammerite Гладкая RAL9003 Белая 0,75л (новый)",Остаток Алматы: 10 шт,13 920 KZT,5819992,Hammerite,Нидерланды,"0,75 л"
"Краска Hammerite Гладкая RAL8017 Коричневая 0,75л (новый)",Остаток Алматы: 3 шт,13 920 KZT,5819924,Hammerite,Нидерланды,"0,75 л"
"Краска Hammerite Total Глянцевая Коричневая RAL 8017 0,75л",Остаток Алматы: 3 шт,12 880 KZT,5575642,Hammerite,Нидерланды,"0,75 л"
"Краска HAMMER д/мет интерьерная BW 0,9л",Остаток Астана: 2 шт,11 730 KZT,5588416,Hammerite,Нидерланды,"0,9 л"
"Краска Hammerite Total Глянцевая Серая RAL 7042 0,75л",Остаток Алматы: 2 шт,12 880 KZT,5575846,Hammerite,Нидерланды,"0,75 л"
Краска Hammerite Гладкая RAL7016 Темно-серая 2л (новый),Остаток Алматы: 2 шт,32 600 KZT,5811237,Hammerite,Нидерланды,2 л
Краска Hammerite Гладкая RAL9005 Черная 2л (новый),Остаток Алматы: 2 шт,32 600 KZT,5810926,Hammerite,Нидерланды,2 л
"Краска HAMMER глад Вишнёвая 2,5л  2,5",Остаток Алматы: 2 шт,33 670 KZT,5163756,Hammerite,Нидерланды,"2,5 л"
"Краска HAMMER д/мет интерьерная BW 0,5л",Остаток Астана: 1 шт,6 810 KZT,5588360,Hammerite,Нидерланды,"0,5 л"
"Краска Hammerite молотковая Темно-Синяя   2,5",Остаток Алматы: 1 шт,33 670 KZT,5093374,Hammerite,Нидерланды,"2,5 л"
"Краска HAMMER глад Кирпич-кр 2,5л  2,5",Остаток Алматы: 1 шт,21 080 KZT,5163743,Hammerite,Нидерланды,"2,5 л"
"Краска Hammerite Total Глянцевая Серая RAL 7042 2,2л",Остаток Алматы: 1 шт,31 360 KZT,5575995,Hammerite,Нидерланды,"2,2 л"
