Название,Остаток,Цена,Артикул,Компания,Откуда,Объем
"MAESTRO Белый потолок люкс (белая)  2,5",Остаток Алматы: 43 шт,5 820 KZT,5183688,Marshall,Турция,"2,5 л"
"Краска ультраматовая д/потолков KELLY-MOORE Ceiling Paint (цвет: ultra white, flat), банка 3,78л",Остаток Алматы: 25 шт,61 450 KZT,10021-1G,KELLY-MOORE,Америка,"3,78 л"
Краска в/э матовая Veloute база  светлая 5л,Остаток Алматы: 24 шт,154 310 KZT,AMVP5,Argile,Франция,5 л
Краска Dulux 3D White матовая BW 5л,Остаток Алматы: 22 шт,32 130 KZT,5701639,Dulux,Англия,5 л
Эмаль универсальная белая матовая,Остаток Алматы: 22 шт,2 200 KZT,KU-1101,KUDO,Россия,520 мл
Эмаль универсальная черная матовая,Остаток Алматы: 21 шт,2 200 KZT,KU-1102,KUDO,Россия,520 мл
Эмаль универсальная зеленая,Остаток Алматы: 21 шт,2 200 KZT,KU-10081,KUDO,Россия,520 мл
Эмаль универсальная красная,Остаток Алматы: 19 шт,2 200 KZT,KU-1003,KUDO,Россия,520 мл
Эмаль универсальная темно-красная,Остаток Алматы: 19 шт,2 200 KZT,KU-10042,KUDO,Россия,520 мл
Эмаль универсальная синяя,Остаток Алматы: 19 шт,2 200 KZT,KU-1011,KUDO,Россия,520 мл
Эмаль универсальная голубая,Остаток Алматы: 18 шт,2 200 KZT,KU-1010,KUDO,Россия,520 мл
Краска LAQUE MATE в/э мат. база средняя 5л,Остаток Алматы: 18 шт,170 930 KZT,ALMI5,Argile,Франция,5 л
"Краска в/э матовая влагостойкая база темная 5л, Architect Matt , Paint&Paper Library",Остаток Алматы: 17 шт,121 975 KZT,PLARD5,PPL(Paint&Paper Library),Англия,5 л
"Краска в/э матовая влагостойкая база средняя 2,5л, Architect Matt , Paint&Paper Library",Остаток Алматы: 17 шт,69 050 KZT,PLARM25,PPL(Paint&Paper Library),Англия,"2,5 л"
"Краска в/э база акриловая матовая база средняя 0.25л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 16 шт,11 020 KZT,PPLSPM,PPL(Paint&Paper Library),Англия,"0,25 л"
"Краска в/э матовая влагостойкая база белая 5л, Architect Matt , Paint&Paper Library",Остаток Алматы: 16 шт,121 975 KZT,PLAR5,PPL(Paint&Paper Library),Англия,5 л
Краска LAQUE MATE в/э мат. база светлая 5л,Остаток Алматы: 15 шт,170 930 KZT,ALMP5,Argile,Франция,5 л
"Краска в/э матовая влагостойкая база средняя 0,75л, Architect Matt , Paint&Paper Library",Остаток Алматы: 15 шт,37 110 KZT,PLARM075,PPL(Paint&Paper Library),Англия,"0,75 л"
"Краска в/э матовая влагостойкая база средняя 5л, Architect Matt , Paint&Paper Library",Остаток Алматы: 14 шт,121 975 KZT,PLARM5,PPL(Paint&Paper Library),Англия,5 л
"Краска LAQUE MATE в/э мат. база средняя 0,75л",Остаток Алматы: 14 шт,42 070 KZT,ALMI075,Argile,Франция,"0,75 л"
Краска  ULTRASATEN OPACO BIANCO LT.1,Остаток Алматы: 11 шт,19 800 KZT,OISULO010E,Oikos,Италия,1 л
Эмаль универсальная салатовая,Остаток Алматы: 12 шт,2 200 KZT,KU-10088,KUDO,Россия,520 мл
Смывка старой краски универсальная,Остаток Алматы: 11 шт,2 600 KZT,KU-9001,KUDO,Россия,520 мл
Краска  ULTRASATEN OPACO TR NEW LT.1,Остаток Алматы: 10 шт,16 600 KZT,OISULOTR1E,Oikos,Италия,1 л
"Краска в/э акриловая матовая база средняя 5л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 10 шт,112 545 KZT,PLPFM5,PPL(Paint&Paper Library),Англия,5 л
"Краска в/э матовая влагостойкая база экстра-темная 5л, Architect Matt , Paint&Paper Library",Остаток Алматы: 10 шт,121 975 KZT,PLARE5,PPL(Paint&Paper Library),Англия,5 л
Краска в/э матовая Veloute база средняя 0.75л,Остаток Алматы: 9 шт,36 750 KZT,AMVI075,Argile,Франция,"0,75 л"
Краска  ULTRASATEN OPACO P      LT.10,Остаток Алматы: 3 шт,173 700 KZT,OISULOP00O,Oikos,Италия,10 л
"Краска в/э матовая влагостойкая база темная 0,75л, Architect Matt , Paint&Paper Library",Остаток Алматы: 9 шт,37 110 KZT,PLARD075,PPL(Paint&Paper Library),Англия,"0,75 л"
"Краска LAQUE MATE в/э мат. база светлая 2,5л",Остаток Алматы: 9 шт,96 450 KZT,ALMP25,Argile,Франция,"2,5 л"
"Краска в/э акриловая матовая база светлая 2,5л",Остаток Алматы: 9 шт,69 340 KZT,AMPP25,Argile,Франция,"2,5 л"
Краска  OTTOCENTO BIANCO      LT. 1,Остаток Алматы: 8 шт,73 400 KZT,FO0000000E,Oikos,Италия,1 л
Краска  SUPERCOLOR BIANCO        LT. 1,Остаток Алматы: 5 шт,13 400 KZT,OISSUS000E,Oikos,Италия,1 л
"Краска LAQUE MATE в/э мат. база светлая 0,75л",Остаток Алматы: 8 шт,42 070 KZT,ALMP075,Argile,Франция,"0,75 л"
Краска  SUPERCOLOR BASE I        LT. 1,Остаток Алматы: 7 шт,12 200 KZT,OISSUPI00E,Oikos,Италия,1 л
Краска  ULTRASATEN SATIN.TR NEW LT.1,Остаток Алматы: 4 шт,17 200 KZT,OISUL0TR1E,Oikos,Италия,1 л
"Краска LAQUE MATE в/э мат. база средняя 2,5л",Остаток Алматы: 8 шт,96 450 KZT,ALMI25,Argile,Франция,"2,5 л"
"Краска в/э акриловая матовая база темная 0,75л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 8 шт,36 050 KZT,PLPFD075,PPL(Paint&Paper Library),Англия,"0,75 л"
Краска  ENCANTO ORO BASE      LT. 1,Остаток Алматы: 8 шт,46 800 KZT,FE000OR00E,Oikos,Италия,1 л
"Краска в/э матовая влагостойкая база экстра-темная 2,5л, Architect Matt , Paint&Paper Library",Остаток Алматы: 8 шт,69 050 KZT,PLARE25,PPL(Paint&Paper Library),Англия,"2,5 л"
Краска  OTTOCENTO BASE P      LT. 4,Остаток Алматы: 7 шт,206 500 KZT,FO000P000D,Oikos,Италия,4 л
"Краска в/э база акриловая матовая база темная 0.25л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 7 шт,11 020 KZT,PPLSPD,PPL(Paint&Paper Library),Англия,"0,25 л"
Краска  ULTRASATEN OPACO TR NEW LT.4,Остаток Алматы: 2 шт,60 200 KZT,OISULOTR1D,Oikos,Италия,4 л
Краска SUPERCOLOR BASE I        LT.10,Остаток Алматы: 5 шт,107 600 KZT,OISSUPI00O,Oikos,Италия,10 л
"Краска в/э база акриловая матовая база э.-темная 0.25л, Pure Flat Emulsion, Paint&Paper Library",Остаток Алматы: 7 шт,11 020 KZT,PPLSPE,PPL(Paint&Paper Library),Англия,"0,25 л"
Краска  SUPERCOLOR BASE TR NEW   LT. 1,Остаток Алматы: 2 шт,11 600 KZT,OISSUPTR1E,Oikos,Италия,1 л
"Краска в/э матовая влагостойкая база экстра-темная 0,75л, Architect Matt , Paint&Paper Library",Остаток Алматы: 7 шт,37 110 KZT,PLARE075,PPL(Paint&Paper Library),Англия,"0,75 л"
Краска  ULTRASATEN OPACO I      LT.4,Остаток Алматы: 5 шт,67 600 KZT,OISULOI00D,Oikos,Италия,4 л
"Краска ультрамат. д-потолков KELLY-MOORE Ceiling Paint (цвет- ultra white, flat), банка 0,946л",Остаток Алматы: 6 шт,20 600 KZT,10021-1Q,KELLY-MOORE,Америка,"0,946 л"
Штукатурка MARMORINO NAT. P/BIANCO  KG. 1,Остаток Алматы: 2 шт,6 600 KZT,LMM000000T,Oikos,Италия,1 кг
