Название,Остаток,Цена,Артикул,Компания,Откуда,Объем
Безвоздушный ручной краскопульт электрический Wall Sprayer W 450,Остаток Алматы: 2 шт,52 500 KZT,2361524,Wagner,Германия,Не указан
Термофен электрический Heatgun Furno 750,Остаток Алматы: 2 шт,49 900 KZT,2359358,Wagner,Германия,Не указан
Термофен электрический Heat gun Furno 300,Остаток Алматы: 2 шт,18 500 KZT,2359348,Wagner,Германия,Не указан
Удлинитель 30 см для распылительного пистолета  Wagner,Остаток Алматы: 2 шт,46 900 KZT,556052,Wagner,Германия,Не указан
Термофен электрический Heatgun Furno 500,Остаток Алматы: 2 шт,32 000 KZT,2359352,Wagner,Германия,Не указан
Краскораспылитель электрический Wagner Control Pro 350M HEA,Остаток Алматы: 1 шт,330 000 KZT,2371057,Wagner,Германия,Не указан
Краскораспылитель высокого давления Wagner Power  Painter 90 SKIDHEA,Остаток Алматы: 1 шт,492 000 KZT,2414079,Wagner,Германия,Не указан
Краскораспылитель электрический Wagner Control Pro 250M HEA,Остаток Алматы: 1 шт,278 500 KZT,2371053,Wagner,Германия,Не указан
Краскораспылитель бытовой  Wagner Finish Contol 3500,Остаток Алматы: 1 шт,253 000 KZT,2341501,Wagner,Германия,Не указан
Краскопульт электрический Wood & Metal Sprayer 100,Остаток Алматы: 1 шт,43 700 KZT,2361507,Wagner,Германия,Не указан
