Название,Остаток,Цена,Артикул,Компания,Откуда,Объем
Dufa Лак YACHT яхтный полуматовый  10л,Остаток Алматы: 71 шт,75 450 KZT,Н0000002563,DUFA,Германия,9 л
Пропитка-антисептик Pinotex Classic Plus 3 в 1 CLR (база под колеровку) 9л,Остаток Алматы: 66 шт,80 180 KZT,5727924,Pinotex,Эстония,9 л
Dufa Лак PARKETT паркетный глянцевый 10л,Остаток Алматы: 68 шт,65 730 KZT,Н0000002240,DUFA,Германия,10 л
Dufa Лак PARKETT паркетный полуматовый 10л,Остаток Алматы: 61 шт,68 310 KZT,Н0000002491,DUFA,Германия,10 л
Dufa Лак YACHT яхтный глянцевый  10л,Остаток Алматы: 61 шт,70 080 KZT,Н0000002557,DUFA,Германия,10 л
"Dufa Пропитка WOOD TEX орегон  0,9л",Остаток Алматы: 42 шт,4 580 KZT,Н0000006090,DUFA,Германия,"0,9 л"
"Пропитка-антисептик Pinotex Classic Plus 3 в 1 CLR (база под колеровку) 0,9л",Остаток Алматы: 31 шт,9 910 KZT,5727613,Pinotex,Эстония,"0,9 л"
Dufa Лак PARKETT паркетный глянцевый   750мл,Остаток Алматы: 32 шт,6 480 KZT,Н0000002238,DUFA,Германия,750 мл
"Тонирующее масло TimberCare Wood Stain (цвет- прозрачный- Clear-Tint base), банка 0,72л",Остаток Алматы: 34 шт,18 900 KZT,350037,TimberCare,Нидерланды,"0,72 л"
"Profilux Лак акриловый для мебели красное дерево 0,9 л",Остаток Алматы: 30 шт,2 800 KZT,МП00-005507,Profilux,Германия,"0,9 л"
Dufa Лак PARKETT паркетный полуматовый   750мл,Остаток Алматы: 28 шт,6 780 KZT,Н0000002489,DUFA,Германия,750 мл
"Profilux Лак акриловый для мебели тик 0,9 л",Остаток Алматы: 30 шт,2 800 KZT,МП00-005508,Profilux,Германия,"0,9 л"
"Тонирующее масло TimberCare Wood Stain (цвет- прозрачный- Clear-Tint base), банка 2,4л",Остаток Алматы: 30 шт,57 000 KZT,350038,TimberCare,Нидерланды,"2,4 л"
Dufa Лак YACHT яхтный полуматовый    750мл,Остаток Алматы: 28 шт,7 350 KZT,Н0000002562,DUFA,Германия,750 мл
"Покрытие суперизносостойкое кроющее TimberCare Porch&Floor (цвет- Прозрач- Clear base), банка 2,34л",Остаток Алматы: 29 шт,64 200 KZT,350130,TimberCare,Нидерланды,"2,34 л"
Pinotex Lacker Sauna 20 (полуматовый) 1л,Остаток Алматы: 25 шт,8 810 KZT,5254107,Pinotex,Эстония,1 л
Dufa Лак YACHT яхтный глянцевый    750мл,Остаток Алматы: 26 шт,7 000 KZT,Н0000002556,DUFA,Германия,750 мл
"Покрытие суперизносостойкое кроющее TimberCare Porch&Floor (цвет- Белый- White base), банка 2,375л",Остаток Алматы: 28 шт,72 800 KZT,350120,TimberCare,Нидерланды,"2,375 л"
Dufa Пропитка WOOD TEX серая  9л,Остаток Алматы: 26 шт,32 690 KZT,МП00-011826,DUFA,Германия,9 л
Dufa Пропитка WOOD TEX орегон  3л,Остаток Алматы: 24 шт,13 050 KZT,Н0000006091,DUFA,Германия,3 л
"Profilux Лак акриловый для мебели белый 0,9 л",Остаток Алматы: 23 шт,2 800 KZT,МП00-005505,Profilux,Германия,"0,9 л"
"Матирующий лак LAQUE MAT, 1 л",Остаток Алматы: 23 шт,17 855 KZT,MD LM-10,Maitre Deco,Франция,1 л
Dufa Пропитка WOOD TEX бесцветная  3л,Остаток Алматы: 22 шт,13 050 KZT,Н0000006066,DUFA,Германия,3 л
"Dufa Пропитка WOOD TEX махагон  0,9л",Остаток Алматы: 22 шт,4 580 KZT,Н0000006082,DUFA,Германия,"0,9 л"
Dufa Лак YACHT яхтный глянцевый   2л,Остаток Алматы: 21 шт,18 190 KZT,МП00-009411,DUFA,Германия,2 л
Dufa Пропитка WOOD TEX дуб  3л,Остаток Алматы: 22 шт,13 050 KZT,Н0000006079,DUFA,Германия,3 л
"Dufa Пропитка WOOD TEX сосна  0,9л",Остаток Алматы: 21 шт,4 580 KZT,Н0000006088,DUFA,Германия,"0,9 л"
"Profilux Лак акриловый для мебели бесцветный 0,9 л",Остаток Алматы: 20 шт,2 660 KZT,МП00-005501,Profilux,Германия,"0,9 л"
