Название,Остаток,Цена,Артикул,Компания,Откуда,Объем
"Ролик специальный для решеток, арматур, оград, 50 мм (2 шт.), ядро 35 мм,  пенополиэстер высокой пло",Остаток Алматы: 430 шт,3 470 KZT,30-1264,Master color,Россия,Не указан
"Валик, ядро 44 мм, микрофибра ""Micromix"", ворс 12 мм, под 8 мм ручку, 250 мм",Остаток Алматы: 396 шт,3 120 KZT,30-0843,Master color,Россия,Не указан
"Кисть флейц., ширина 30 мм,  толщ. 12 мм, ПЭТ-щетина, нерж. обжим, пласт. ручка",Остаток Алматы: 362 шт,630 KZT,30-0201,Master color,Россия,Не указан
"Лента малярная золотистая, рисовая бумага, термостойк. до 120°C, УФ-стойкость до 30 дней, 9 мм х 50",Остаток Алматы: 243 шт,1 040 KZT,30-6120,Master color,Россия,Не указан
"Кисть флейц., ширина 50 мм, толщ. 13 мм, ПЭТ-щетина, нерж. обжим, пласт. ручка",Остаток Алматы: 231 шт,800 KZT,30-0203,Master color,Россия,Не указан
"Clever Cover: укрывная пленка с пвх-лентой, 55 см х 25 м . Статически заряжена. 7 мкр.",Остаток Алматы: 210 шт,3 470 KZT,30-7122,Master color,Россия,Не указан
"Кисть флейц., ширина 70 мм,  толщ. 16 мм, 70% ПБT/30% светл.натур. щетина, ручка тверд.дерева",Остаток Алматы: 165 шт,4 160 KZT,30-0045,Master color,Россия,Не указан
"Clever Cover: укрывная пленка с золотистой малярной лентой, 270 см х 17 м. Статически заряжена. 7 мк",Остаток Алматы: 142 шт,5 200 KZT,30-7118,Master color,Россия,Не указан
"Кисть флейц., ширина 70 мм,  толщ. 16 мм, ПЭТ-щетина, нерж. обжим, ручка тверд.дерева",Остаток Алматы: 125 шт,4 160 KZT,30-0035,Master color,Россия,Не указан
"Валик, 10 см., ядров 35 мм,  пенополиэстер, мелкопористый, под 6 мм ручку желт.",Остаток Алматы: 123 шт,530 KZT,30-1022,Master color,Россия,Не указан
"Лента малярная для деликатных поверхностей,  рисовая бумага, термостойк. до 120°C, УФ-стойкость до 3",Остаток Алматы: 111 шт,3 120 KZT,30-6134,Master color,Россия,Не указан
"Макловица, 120х30 мм, 70%ПЭT/30% натур. щетина, нерж. обжим, красная пласт. ручка",Остаток Алматы: 120 шт,1 390 KZT,30-0583,Master color,Россия,Не указан
"Кисть флейц., ширина 70 мм, толщ. 16 мм, 70% ПЭT/30% натур. щетина, нерж. обжим, пласт. ручка",Остаток Алматы: 117 шт,1 390 KZT,30-0234,Master color,Россия,Не указан
"Валик, 25 см, ядро 47, микрофибра, ворс 9 мм, под 8 мм ручку",Остаток Алматы: 109 шт,2 080 KZT,30-0837,Master color,Россия,Не указан
"Кисть флейц., ширина 50 мм, натур. щетина, 55% топс, лакиров.ручка",Остаток Алматы: 95 шт,420 KZT,30-0013,Master color,Россия,Не указан
"Лента малярная для деликатных поверхностей, 24 мм x 25 м",Остаток Алматы: 87 шт,1 570 KZT,30-6132,Master color,Россия,Не указан
"Валик, ядро 44 мм, микрофибра ""Micromix"", ворс 12 мм, под 8 мм ручку, 180 мм",Остаток Алматы: 75 шт,2 310 KZT,30-0842,Master color,Россия,Не указан
"KELLY-MOORE 9 PRO HD ROLLER FRAME- Рукоятка для валика 228,6мм",Остаток Алматы: 91 шт,21 100 KZT,9PHK5G,KELLY-MOORE,Америка,Не указан
"Кисть флейц., ширина 40 мм, толщ. 11 мм, 70% ПЭT/30% натур. щетина, нерж.обжим, пласт. ручка",Остаток Алматы: 70 шт,800 KZT,30-0232,Master color,Россия,Не указан
"Кисть флейц., ширина 40 мм,  толщ. 13 мм, 70% ПБT/30% светл.натур. щетина, нерж. обжим, пласт. ручка",Остаток Алматы: 72 шт,840 KZT,30-0122,Master color,Россия,Не указан
"Кисть флейц., ширина 25 мм, натур. щетина, 55% топс, лакиров.ручка",Остаток Алматы: 83 шт,285 KZT,30-0011,Master color,Россия,Не указан
"Лента малярная золотистая, рисовая бумага, 24 мм x 25 м, термостойкость до 100°C, УФ-стойкость до 30",Остаток Алматы: 74 шт,1 390 KZT,30-6122,Master color,Россия,Не указан
"Валик, 18 см, ядро  44,  полиамид, ворс 20 мм, с подкладкой 8 мм., под 8 мм  ручку.",Остаток Алматы: 80 шт,3 120 KZT,30-0766,Master color,Россия,Не указан
"Кисть флейц., ширина 30 мм,  толщ. 12 мм, 70% ПБT/30% светл.натур. щетина, нерж. обжим, пласт. ручка",Остаток Алматы: 63 шт,700 KZT,30-0121,Master color,Россия,Не указан
"KELLY-MOORE 4 X 1-4 NAP WOVEN LINT FREE ROLLER COVER- Акриловое волокно шубка (101,6мм, ворс 6,35м)",Остаток Алматы: 76 шт,6 750 KZT,0037-202,KELLY-MOORE,Америка,Не указан
"Clever Cover: укрывная пленка с ПЭ-лентой, 140 см х 33 м. Статически заряжена. 7 мкр.",Остаток Алматы: 70 шт,5 200 KZT,30-7126,Master color,Россия,Не указан
"Кисть флейц., ширина 30 мм, толщ. 11 мм, 70% ПЭT/30% натур. щетина, ручка тверд.дерева",Остаток Алматы: 62 шт,1 740 KZT,30-0021,Master color,Россия,Не указан
"Ручка для валика, оцинкованная сталь Ø8 мм, ширина 25 см",Остаток Алматы: 69 шт,1 390 KZT,30-1211,Master color,Россия,Не указан
"Валик, 10 см., ядро 35 мм,  структурный поролон грубый, крупнопористый, под 6 мм ручку.",Остаток Алматы: 68 шт,1 040 KZT,30-1274,Master color,Россия,Не указан
"Ручка для валика, оцинкованная сталь Ø6 мм, длина 19 см, ширина 5 см, для валиков 5-6 см.",Остаток Алматы: 64 шт,700 KZT,30-1221,Master color,Россия,Не указан
"Кисть флейц., ширина 70 мм, толщ. 16 мм, 70% ПБT/30% чёрн.натур. щетина, нерж. обжим, пласт. ручка",Остаток Алматы: 39 шт,1 740 KZT,30-0164,Master color,Россия,Не указан
"Валик,  18 см, ядро 41, полиакрил, ворс 12 мм, под 8 мм  ручку",Остаток Алматы: 61 шт,1 740 KZT,30-0786,Master color,Россия,Не указан
"Ручка для валика, оцинкованная сталь Ø8 мм, ширина 18 см",Остаток Алматы: 59 шт,1 160 KZT,30-1210,Master color,Россия,Не указан
"Clever Cover: укрывная пленка с золотистой малярной лентой, 55 см х 33 м. Статически заряжена. 7 мкр",Остаток Алматы: 59 шт,3 120 KZT,30-7114,Master color,Россия,Не указан
"Валик, 10 см., ядров 35 мм,  пенополиэстер, мелкопористый, под 6 мм ручку",Остаток Алматы: 41 шт,530 KZT,30-1023,Master color,Россия,Не указан
"KELLY-MOORE 4 PRO HD ROLLER FRAME- Рукоятка для валика 101,6мм",Остаток Алматы: 54 шт,13 300 KZT,4PHK5G,KELLY-MOORE,Америка,Не указан
"Валик, 25 см, ядро  44, полиамид, ворс 20 мм, с подкладкой 8 мм, под 8 мм  ручку.",Остаток Алматы: 54 шт,4 860 KZT,30-0767,Master color,Россия,Не указан
KELLY-MOORE 2 100% SOLID TAPERED POLYESTER FLAT SASH- Кисть полиэстер смесь круглых нитей средней же,Остаток Алматы: 48 шт,9 300 KZT,0037-161,KELLY-MOORE,Америка,Не указан
"Ручка для валика 2К, алюминий Ø 8 мм, ширина 180 мм",Остаток Алматы: 36 шт,3 120 KZT,30-1230,Master color,Россия,Не указан
KELLY-MOORE 2 100% SOLID TAPERED POLYESTER ANGULAR SASH- Кисть полиэстер смесь круглых нитей средней,Остаток Алматы: 48 шт,10 100 KZT,0037-158,KELLY-MOORE,Америка,Не указан
"Валик, 18 см, ядро 47,  полиамид, ворс 20 мм, под 8 мм  ручку",Остаток Алматы: 34 шт,2 780 KZT,30-0756,Master color,Россия,Не указан
"Кисть флейц., ширина 30 мм,  толщ. 12 мм, 70% ПБT/30% чёрн.натур. щетина, нерж. обжим, пласт. ручка",Остаток Алматы: 26 шт,800 KZT,30-0161,Master color,Россия,Не указан
"Валик, 18 см, ядро 58, полиакрил, ворс 18 мм, под 8 мм ручку",Остаток Алматы: 46 шт,2 080 KZT,30-0816,Master color,Россия,Не указан
"Валик 25 см, ядро 41 мм, полиэстр филт, ворс 5, под 8 мм ручку",Остаток Алматы: 45 шт,2 430 KZT,30-0687,Master color,Россия,Не указан
"Валик 10 см, ядро 15 мм, полиэстр филт, ворс 6, под 6 мм ручку",Остаток Алматы: 44 шт,700 KZT,30-1032,Master color,Россия,Не указан
"KELLY-MOORE 1-1-2 WHITE CHINA BRISTLE VARNISH- Кисть натуральная китайская белая щетина (38мм, ровны",Остаток Алматы: 41 шт,9 600 KZT,0037-165,KELLY-MOORE,Америка,Не указан
"Clever Cover: укрывная пленка с золотистой малярной лентой, 140 см х 33 м. Статически заряжена. 7 мк",Остаток Алматы: 27 шт,4 860 KZT,30-7116,Master color,Россия,Не указан
"Валик, 25 см, ядро 48, полиакрил, ворс 18 мм, под 8 мм ручку",Остаток Алматы: 39 шт,2 080 KZT,30-0807,Master color,Россия,Не указан
Валик Филт войлочный 25см/38мм,Остаток Алматы: 38 шт,6 130 KZT,450025,ANZA,Швеция,Не указан
"Кисть флейц., ширина 40 мм,  толщ. 13 мм, 70% ПБT/30% чёрн.натур. щетина, нерж. обжим, пласт. ручка",Остаток Алматы: 16 шт,940 KZT,30-0162,Master color,Россия,Не указан
"Валик, 18 см., ядро 48 мм., полиакрил, ворс 9 мм, под 8 мм ручку",Остаток Алматы: 25 шт,1 740 KZT,30-0796,Master color,Россия,Не указан
"Кисть флейц., ширина 50 мм, толщ. 12 мм, 70% ПЭT/30% натур. щетина, нерж. обжим, пласт. ручка",Остаток Алматы: 25 шт,980 KZT,30-0233,Master color,Россия,Не указан
Кисть PLATINUM  плоская 35 мм.,Остаток Алматы: 36 шт,7 540 KZT,149535,ANZA,Швеция,Не указан
KELLY-MOORE 1-1-2 100% SOLID TAPERED POLYESTER ANGULAR SASH- Кисть полиэстер смесь круглых нитей сре,Остаток Алматы: 36 шт,8 650 KZT,0037-157,KELLY-MOORE,Америка,Не указан
"Валик, ядро 41 мм, полиамид нейлон, ворс 12 мм, под 8 мм ручку, 350 мм",Остаток Алматы: 35 шт,4 160 KZT,30-0738,Master color,Россия,Не указан
"Телескопический удлинитель 1,2-2 м, алюминий, 2-х секционный, с винтовым адаптером",Остаток Алматы: 28 шт,10 400 KZT,30-1509,Master color,Россия,Не указан
Кисть PLATINUM  плоская 25 мм.,Остаток Алматы: 35 шт,6 340 KZT,149525,ANZA,Швеция,Не указан
"Кисть флейц., ширина 70 мм,  толщ. 16 мм, 70% ПБT/30% чёрн.натур. щетина, нерж. обжим, ручка тверд.д",Остаток Алматы: 25 шт,4 160 KZT,30-0055,Master color,Россия,Не указан
"Кисть флейц., ширина 60 мм, натур. щетина, 55% топс, лакиров.ручка",Остаток Алматы: 17 шт,630 KZT,30-0014,Master color,Россия,Не указан
"Валик, 25 см., ядро 80 мм, структурный поролон грубый, крупнопористый, под 8 мм ручку.",Остаток Алматы: 28 шт,5 200 KZT,30-1284,Master color,Россия,Не указан
"Валик, 10 см, ядро 15 мм., микрофибра, ворс 9 мм, под 6 мм ручку",Остаток Алматы: 3 шт,350 KZT,30-1092,Master color,Россия,Не указан
"Кисть флейц., ширина 70 мм, толщ. 11 мм, 70% ПЭT/30% натур. щетина, ручка тверд.дерева",Остаток Алматы: 31 шт,4 160 KZT,30-0025,Master color,Россия,Не указан
"Кисть флейцевая, ХАЛЯЛЬ, ширина 70 мм,  толщ. 16 мм, 30% черный конский волос+ 70% ПБТ",Остаток Алматы: 32 шт,950 KZT,30-0144,Master color,Россия,Не указан
KELLY-MOORE 1-1-2 100% SOLID TAPERED POLYESTER FLAT SASH- Кисть полиэстер смесь круглых нитей средне,Остаток Алматы: 31 шт,8 150 KZT,0037-160,KELLY-MOORE,Америка,Не указан
Валик Антекс микрофибра 25/38мм,Остаток Алматы: 30 шт,6 950 KZT,580025,ANZA,Швеция,Не указан
"Удлинитель, сталь лакированная, Ø 25 мм., 120  см.",Остаток Алматы: 30 шт,2 310 KZT,30-1408,Master color,Россия,Не указан
"Валик, 25 см, ядро 47, полиамид, ворс 20 мм, под 8 мм  ручку",Остаток Алматы: 19 шт,3 820 KZT,30-0757,Master color,Россия,Не указан
"Валик, 18 см, ядро 47, спец. полиэстр, ворс 13 мм, под 8 мм ручку",Остаток Алматы: 17 шт,1 740 KZT,30-0716,Master color,Россия,Не указан
Поддон для краски 25 см,Остаток Алматы: 28 шт,5 110 KZT,621025,ANZA,Швеция,Не указан
"Валик MAKO сменный, тканный полиэстер, особо короткий ворс 10мм, плотность 780г 706618/706619",Остаток Алматы: 16 шт,4 310 KZT,706618/706619,MAKO,Германия,Не указан
Кисть MAKO плоская 70мм (светлая смесь щитины) 60% пласт.ручка оправа из белай жести 352470,Остаток Алматы: 21 шт,1 370 KZT,352470,MAKO,Германия,Не указан
"Валик, 18 см, ядро 47, микрофибра, ворс 9 мм, под 8 мм ручку",Остаток Алматы: 14 шт,1 740 KZT,30-0836,Master color,Россия,Не указан
"Удлинитель, сталь лакированная, Ø 25 мм., 200 см.",Остаток Алматы: 24 шт,3 470 KZT,30-1409,Master color,Россия,Не указан
Ванночка MAKO для краски super GRIP 25*32 761831/761832,Остаток Алматы: 27 шт,1 620 KZT,761831/761832,MAKO,Германия,Не указан
"Валик, 25 см, ядро 41 мм., полиамид, ворс 12мм, под 8 мм ручку",Остаток Алматы: 27 шт,3 120 KZT,30-0737,Master color,Россия,Не указан
"Валик, 25 см.,ядро 40 мм., 100% велюр, ворс 5 мм",Остаток Алматы: 17 шт,2 780 KZT,30-0847,Master color,Россия,Не указан
"Лента малярная золотистая, рисовая бумага, 36 мм x 25 м, термостойкость до 100°C, УФ-стойкость до 30",Остаток Алматы: 25 шт,2 080 KZT,30-6123,Master color,Россия,Не указан
Кисть ELITE плоская 70мм,Остаток Алматы: 24 шт,10 240 KZT,150470,ANZA,Швеция,Не указан
"Кисть флейц., ширина 50 мм,  толщ. 15 мм, 70% ПБT/30% чёрн.натур. щетина, нерж. обжим, ручка тверд.д",Остаток Алматы: 14 шт,2 430 KZT,30-0053,Master color,Россия,Не указан
Кисть PLATINUM со скошенной щетиной 35 мм.,Остаток Алматы: 22 шт,10 620 KZT,149635,ANZA,Швеция,Не указан
Валик ELITE Филт войлочный 10 см/15 мм,Остаток Алматы: 22 шт,2 810 KZT,454510,ANZA,Швеция,Не указан
"Ролик, 10 см, ядро15 мм, 100% велюр, ворс 5 мм, ручка 27 см",Остаток Алматы: 2 шт,1 390 KZT,30-1114,Master color,Россия,Не указан
Рукоятка BASIC для валика 25см,Остаток Алматы: 21 шт,5 835 KZT,603025,ANZA,Швеция,Не указан
Кисть ELITE плоская 35мм,Остаток Алматы: 21 шт,6 450 KZT,150435,ANZA,Швеция,Не указан
Валик MAKO сменный VESTAN lachs 23см для Endkapp рукоятки высота ворса 13мм 701723,Остаток Алматы: 20 шт,1 720 KZT,701723,MAKO,Германия,Не указан
"Кисть для нанесения декоративных материалов, 75 мм",Остаток Алматы: 19 шт,3 470 KZT,30-0065,Master color,Россия,Не указан
"Кисть флейц., ширина 30 мм,  толщ. 14 мм, 70% ПБT/30% светл.натур. щетина, ручка тверд.дерева",Остаток Алматы: 14 шт,1 740 KZT,30-0041,Master color,Россия,Не указан
"Валик, 18 см, ядро 41 мм., полиамид, ворс 12мм, под 8 мм ручку",Остаток Алматы: 19 шт,2 260 KZT,30-0736,Master color,Россия,Не указан
Валик Микмекс микрофибра 10 см,Остаток Алматы: 19 шт,3 245 KZT,584512,ANZA,Швеция,Не указан
"Кисть флейцевая, ХАЛЯЛЬ, ширина 30 мм, толщ. 11 мм, 30%  светлый конский волос + 70% темный ПБТ",Остаток Алматы: 19 шт,475 KZT,30-0221,Master color,Россия,Не указан
"Миксер пластиковый для перемешивания краски, многофункциональный",Остаток Алматы: 14 шт,700 KZT,30-1481,Master color,Россия,Не указан
Валик ELITE Титекс 25см/38мм,Остаток Алматы: 17 шт,6 770 KZT,550025,ANZA,Швеция,Не указан
"KELLY-MOORE 9 X 3-8 NAP MICROFIBER ROLLER COVER- Микрофибра шубка (228,6мм, ворс 9,53мм)",Остаток Алматы: 17 шт,19 000 KZT,0037-179,KELLY-MOORE,Америка,Не указан
"KELLY-MOORE 4 X 3-8 NAP WOVEN DRALON ROLLER COVER- Акриловое волокно шубка (101,6мм, ворс 9,53мм)",Остаток Алматы: 16 шт,7 100 KZT,0037-203,KELLY-MOORE,Америка,Не указан
KELLY-MOORE 2-1-2 100% SOLID TAPERED POLYESTER FLAT SASH- Кисть полиэстер смесь круглых нитей средне,Остаток Алматы: 16 шт,11 400 KZT,0037-162,KELLY-MOORE,Америка,Не указан
"Шпатель-скребок, 75 мм ,многофункциональный 8-в-1 нержавеющая сталь, 2К-ручка",Остаток Алматы: 10 шт,3 470 KZT,30-2614,Master color,Россия,Не указан
"KELLY-MOORE 9 X 3-8 NAP WOVEN DRALON ROLLER COVER- Акриловое волокно шубка (228,6мм, ворс 9,53мм)",Остаток Алматы: 16 шт,13 150 KZT,0037-199,KELLY-MOORE,Америка,Не указан
"Валик, 18 см, ядро 48, полиакрил, ворс 18 мм, под 8 мм ручку",Остаток Алматы: 16 шт,1 740 KZT,30-0806,Master color,Россия,Не указан
"Валик MAKO в сборе 5см, короткая рукоятка 745106",Остаток Астана: 15 шт,1 250 KZT,745106,MAKO,Германия,Не указан
Валик Микмекс микрофибра 25/38мм,Остаток Алматы: 15 шт,9 130 KZT,580026,ANZA,Швеция,Не указан
KELLY-MOORE 9 X 3-8 NAP AAA MERINO SHEEPSKIN ROLLER COVER- 100% натуральная овчина мериноса (шубка),Остаток Алматы: 14 шт,25 750 KZT,0037-172,KELLY-MOORE,Америка,Не указан
"Валик 10 см, ядро 15 мм, полиэстр филт, ворс 6, под 6 мм ручку желт.",Остаток Алматы: 14 шт,700 KZT,30-1031,Master color,Россия,Не указан
"KELLY-MOORE 9 X 1-4 NAP WOVEN LINT FREE ROLLER COVER- Акриловое волокно шубка (228,6мм, ворс 6,35м)",Остаток Алматы: 13 шт,12 250 KZT,0037-198,KELLY-MOORE,Америка,Не указан
"KELLY-MOORE 2 WHITE CHINA BRISTLE VARNISH- Кисть натуральная китайская белая щетина (51мм, ровный кр",Остаток Алматы: 13 шт,11 950 KZT,0037-166,KELLY-MOORE,Америка,Не указан
"Валик, 18 см. ядро 48 мм., полиамид нейлон, ворс 9 мм, под 8 мм ручку",Остаток Алматы: 13 шт,750 KZT,30-0746,Master color,Россия,Не указан
"Круглая кисть, Ø55 мм, натур. щетина, 55% топс, деревянная ручка",Остаток Алматы: 13 шт,800 KZT,30-0408,Master color,Россия,Не указан
Валик BASIC Рилон 25см/38мм,Остаток Алматы: 12 шт,5 575 KZT,440025,ANZA,Швеция,Не указан
"Радиаторная кисть, ширина 25 мм, толщ. 11 мм, натур. щетина, нерж. обжим, деревянная ручка",Остаток Алматы: 6 шт,630 KZT,30-0301,Master color,Россия,Не указан
"Кисть флейц., ширина 50 мм, толщ. 11 мм, 70% ПЭT/30% натур. щетина, ручка тверд.дерева",Остаток Астана: 12 шт,2 430 KZT,30-0023,Master color,Россия,Не указан
Кисть MAKO плоская 100мм (светлая смесь щитины) 60% пласт.ручка оправа из белай жести 352499,Остаток Астана: 12 шт,2 870 KZT,352499,MAKO,Германия,Не указан
Кисть BASIC XP плоская синтетика 70 мм.,Остаток Алматы: 12 шт,4 590 KZT,147570,ANZA,Швеция,Не указан
"Ролик, 10 см., ядро 30 мм., микрофибра, ворс 9 мм, ручка 35 см",Остаток Алматы: 5 шт,1 740 KZT,30-1095,Master color,Россия,Не указан
"Ролик,  18 см, ядро 41, полиакрил, ворс 12 мм, 8 мм  ручка.",Остаток Алматы: 12 шт,3 120 KZT,30-0790,Master color,Россия,Не указан
"Ролик, ядро 15 мм, микрофибра ""Micromix"", ворс 12 мм, 2К-ручка 27 см, 100 мм,",Остаток Алматы: 3 шт,2 080 KZT,30-1017,Master color,Россия,Не указан
Кисть BASIC XP плоская синтетика 35 мм.,Остаток Алматы: 11 шт,2 490 KZT,147535,ANZA,Швеция,Не указан
"KELLY-MOORE 9 X 1-4 NAP MICROFIBER ROLLER COVER- Микрофибра шубка (228,6мм, ворс 6,35мм)",Остаток Алматы: 11 шт,16 900 KZT,0037-178,KELLY-MOORE,Америка,Не указан
"Кисть флейц., ширина 30 мм,  толщ. 14 мм, ПЭТ-щетина, нерж. обжим, ручка тверд.дерева",Остаток Алматы: 7 шт,1 740 KZT,30-0031,Master color,Россия,Не указан
KELLY-MOORE 2-1-2 100% SOLID TAPERED POLYESTER ANGULAR SASH- Кисть полиэстер смесь круглых нитей сре,Остаток Алматы: 11 шт,12 250 KZT,0037-159,KELLY-MOORE,Америка,Не указан
"Ролик окантовочный, 10 см, ядро 30, полиакрил, ворс 11 мм, 2-К ручка",Остаток Алматы: 3 шт,4 510 KZT,30-1254,Master color,Россия,Не указан
"Кисть флейц., ширина 50 мм,  толщ. 15 мм, ПЭТ-щетина, нерж. обжим, ручка тверд.дерева",Остаток Астана: 10 шт,2 430 KZT,30-0033,Master color,Россия,Не указан
Скотч MAKO малярный 50мх50мм (до 80°С) желтый 831350,Остаток Алматы: 10 шт,4 780 KZT,831350,MAKO,Германия,Не указан
Ванна для краски пластиковая 610х350 мм,Остаток Алматы: 7 шт,7 630 KZT,30-1323,Master color,Россия,Не указан
