Название,Остаток,Цена,Артикул,Компания,Откуда,Объем
WOODEX AQUA WOOD OIL CLEAR пропитывающее средство для древесины 9,Остаток Алматы: 4 шт,74 580 KZT,9482003010,Teknos,Финляндия,9 л
WOODEX AQUA CLASSIC CLEAR лессирующее средство для древесины  9,Остаток Алматы: 3 шт,70 300 KZT,9422003010,Teknos,Финляндия,9 л
"WOODEX AQUA CLASSIC CLEAR лессирующее средство для древесины  0,9",Остаток Алматы: 3 шт,9 200 KZT,9422003001,Teknos,Финляндия,"0,9 л"
Добавка DECORGLITTER ORO     GR.90,Остаток Алматы: 3 шт,6 700 KZT,IDEG0oR00N,Oikos,Италия,90 мл
"SATU SAUNASUOJA  в/р желеобразное защитное средство для сауны 0,9",Остаток Алматы: 3 шт,7 920 KZT,790000001,Teknos,Финляндия,"0,9 л"
"WOODEX AQUA CLASSIC CLEAR лессирующее средство для древесины  2,7",Остаток Алматы: 2 шт,25 840 KZT,9422003003,Teknos,Финляндия,"2,7 л"
"WOODEX AQUA WOOD OIL CLEAR пропитывающее средство для древесины 0,9",Остаток Алматы: 2 шт,8 510 KZT,9482003001,Teknos,Финляндия,"0,9 л"
"Добавка глиттер  PAILLETTES  OR, 0,03 л",Остаток Алматы: 1 шт,10 115 KZT,MD PLT-OR-030,Maitre Deco,Франция,"0,03 л"
"WOODEX CLASSIC CLEAR лессирующее средство для древесины  2,7",Остаток Алматы: 1 шт,27 550 KZT,9443003003,Teknos,Финляндия,"2,7 л"
"Декоративный воск FINITURA MADREPER. ORO  LT.0,5",Остаток Алматы: 1 шт,63 400 KZT,FF2000o00V,Oikos,Италия,"0,5 л"
Матирующая добавка OPAC              LT. 1,Остаток Алматы: 1 шт,27 600 KZT,OISOPA000E,Oikos,Италия,1 л
"WOODEX AQUA WOOD OIL CLEAR пропитывающее средство для древесины 2,7",Остаток Алматы: 1 шт,22 900 KZT,9482003003,Teknos,Финляндия,"2,7 л"
